tier	class	overlapping_cds_rows	unique_gene_ids	unique_named_genes
best_continuous_3of3	balancing	28372	9697	7705
best_continuous_3of3	sweep	8981	3313	2850
continuous_distance_3class	balancing	32478	10410	8169
continuous_distance_3class	sweep	16907	5772	4969
dist_margin_025	balancing	24513	8568	6790
dist_margin_025	sweep	6656	2625	2306
dist_margin_050	balancing	22864	8024	6324
dist_margin_050	sweep	4193	1792	1605
dist_margin_100	balancing	18996	6746	5263
dist_margin_100	sweep	39	26	25
dist_top1pct	balancing	395	250	187
dist_top1pct	sweep	135	86	77
dist_top500	balancing	341	220	161
dist_top500	sweep	259	142	129
empirical_fdr_selected	balancing	14	11	8
empirical_fdr_selected	sweep	69	48	44
genomewide_fdr_selected	sweep	3	2	2
gmm_rf	balancing	31189	10458	8356
gmm_rf	sweep	11827	4733	4063
gmm_rf_contdist	balancing	25980	9007	7152
gmm_rf_contdist	sweep	8583	3213	2782
margin_025	balancing	28025	9594	7622
margin_025	sweep	8855	3265	2809
margin_050	balancing	27646	9486	7531
margin_050	sweep	8725	3213	2766
margin_100	balancing	26872	9234	7316
margin_100	sweep	8487	3111	2675
score_margin_025	balancing	28025	9594	7622
score_margin_025	sweep	8855	3265	2809
score_margin_050	balancing	27646	9486	7531
score_margin_050	sweep	8725	3213	2766
score_margin_100	balancing	26872	9234	7316
score_margin_100	sweep	8487	3111	2675
tail500	balancing	241	157	107
tail500	sweep	373	203	181
top1pct	balancing	804	482	369
top1pct	sweep	1121	528	468
